customer_id,contract_type,tenure_months,internet_service,phone_service,streaming_tv,tech_support,monthly_charges,total_charges,payment_method
CUST0067,Month-to-Month,61,No Internet,Yes,No,No,85.96,5243.47,Electronic Check
CUST0068,Month-to-Month,66,DSL,Yes,No,Yes,88.09,5813.61,Electronic Check
CUST0069,Month-to-Month,42,No Internet,Yes,No,No,119.18,5005.62,Bank Transfer
CUST0070,Month-to-Month,65,DSL,Yes,No,Yes,85.52,5558.7,Bank Transfer
CUST0071,Month-to-Month,36,Fiber Optic,Yes,No,No,96.24,3464.8,Mailed Check
CUST0072,Month-to-Month,9,Fiber Optic,Yes,Yes,No,63.27,569.45,Electronic Check
CUST0073,Month-to-Month,36,Fiber Optic,Yes,Yes,No,110.53,3979.17,Credit Card
CUST0074,Two Year,38,Fiber Optic,Yes,No,Yes,46.4,1763.17,Mailed Check
CUST0075,Month-to-Month,33,DSL,Yes,No,No,84.24,2779.96,Mailed Check
CUST0076,One Year,42,DSL,Yes,Yes,Yes,49.5,2078.88,Mailed Check
CUST0077,Month-to-Month,61,Fiber Optic,Yes,Yes,No,95.5,5825.51,Electronic Check
CUST0078,Two Year,46,Fiber Optic,Yes,No,No,58.89,2708.91,Mailed Check
CUST0079,Two Year,61,Fiber Optic,Yes,No,No,66.16,4035.7,Credit Card
CUST0080,One Year,18,Fiber Optic,Yes,Yes,No,66.94,1204.88,Bank Transfer
CUST0081,One Year,70,Fiber Optic,Yes,Yes,No,61.48,4303.85,Bank Transfer
CUST0082,Month-to-Month,15,No Internet,Yes,No,Yes,71.51,1072.7,Electronic Check
CUST0083,Two Year,48,Fiber Optic,Yes,No,No,45.77,2196.94,Credit Card
CUST0084,Two Year,13,DSL,No,No,No,48.73,633.45,Credit Card
CUST0085,Two Year,43,Fiber Optic,Yes,No,No,66.25,2848.78,Credit Card
CUST0086,One Year,60,Fiber Optic,Yes,No,No,72.41,4344.52,Electronic Check
CUST0087,Month-to-Month,57,No Internet,Yes,No,Yes,94.81,5404.2,Credit Card
CUST0088,Two Year,71,DSL,Yes,Yes,No,35.53,2522.97,Bank Transfer
CUST0089,Month-to-Month,17,Fiber Optic,Yes,No,No,103.27,1755.56,Credit Card
CUST0090,One Year,50,No Internet,No,No,No,84.1,4204.91,Credit Card
CUST0091,Month-to-Month,32,Fiber Optic,Yes,No,No,65.35,2091.36,Electronic Check
CUST0092,Two Year,22,Fiber Optic,Yes,No,No,50.75,1116.41,Mailed Check
CUST0093,Month-to-Month,55,DSL,Yes,No,No,85.57,4706.3,Mailed Check
CUST0094,Month-to-Month,57,DSL,Yes,No,No,116.75,6654.79,Electronic Check
CUST0095,One Year,13,Fiber Optic,Yes,Yes,No,73.88,960.39,Electronic Check
CUST0096,One Year,47,Fiber Optic,Yes,Yes,Yes,77.26,3631.41,Electronic Check
CUST0097,One Year,62,No Internet,Yes,Yes,No,71.22,4415.46,Electronic Check
CUST0098,Month-to-Month,54,Fiber Optic,No,Yes,No,96.33,5202.05,Credit Card
CUST0099,Month-to-Month,29,Fiber Optic,Yes,Yes,No,100.79,2922.98,Credit Card
CUST0100,One Year,22,DSL,Yes,Yes,No,60.98,1341.54,Mailed Check
CUST0101,Two Year,65,No Internet,Yes,No,No,51.85,3370.0,Electronic Check
CUST0102,Two Year,29,Fiber Optic,Yes,No,No,46.47,1347.51,Electronic Check
CUST0103,Month-to-Month,48,DSL,Yes,No,Yes,68.07,3267.24,Credit Card
CUST0104,Two Year,5,DSL,Yes,No,No,45.74,228.68,Electronic Check
CUST0105,Month-to-Month,35,Fiber Optic,Yes,Yes,Yes,99.75,3491.1,Bank Transfer
CUST0106,Month-to-Month,71,DSL,Yes,No,No,96.79,6871.9,Credit Card
CUST0107,Month-to-Month,46,No Internet,Yes,Yes,Yes,91.86,4225.57,Bank Transfer
CUST0108,Month-to-Month,35,Fiber Optic,Yes,No,No,100.98,3534.23,Credit Card
CUST0109,One Year,45,Fiber Optic,Yes,Yes,No,75.18,3383.21,Credit Card
CUST0110,Month-to-Month,13,No Internet,Yes,No,No,112.88,1467.43,Credit Card
CUST0111,Month-to-Month,10,DSL,Yes,Yes,No,95.16,951.61,Mailed Check
CUST0112,Month-to-Month,66,Fiber Optic,Yes,Yes,Yes,106.72,7043.26,Mailed Check
CUST0113,Month-to-Month,70,DSL,Yes,Yes,Yes,74.92,5244.57,Credit Card
CUST0114,One Year,25,DSL,Yes,No,No,49.14,1228.59,Credit Card
CUST0115,Month-to-Month,44,DSL,Yes,Yes,No,114.13,5021.79,Credit Card
CUST0116,Month-to-Month,60,No Internet,Yes,No,No,83.14,4988.64,Credit Card
CUST0117,One Year,47,Fiber Optic,Yes,Yes,Yes,76.14,3578.39,Electronic Check
CUST0118,One Year,40,Fiber Optic,Yes,Yes,No,46.31,1852.27,Electronic Check
CUST0119,One Year,7,DSL,Yes,No,No,72.8,509.59,Electronic Check
CUST0120,Month-to-Month,46,Fiber Optic,Yes,No,No,94.89,4364.96,Mailed Check
CUST0121,Two Year,23,DSL,Yes,No,No,61.24,1408.44,Bank Transfer
CUST0122,Two Year,46,Fiber Optic,Yes,Yes,No,67.09,3086.02,Credit Card
CUST0123,Two Year,13,Fiber Optic,No,Yes,Yes,69.6,904.77,Electronic Check
CUST0124,One Year,21,DSL,Yes,No,Yes,72.65,1525.63,Electronic Check
CUST0125,Month-to-Month,1,DSL,Yes,Yes,No,67.31,67.31,Electronic Check
CUST0126,Two Year,19,No Internet,Yes,No,No,48.37,918.94,Credit Card
CUST0127,Month-to-Month,60,DSL,Yes,Yes,Yes,80.69,4841.6,Credit Card
CUST0128,Month-to-Month,33,Fiber Optic,Yes,No,No,62.09,2049.11,Bank Transfer
CUST0129,Month-to-Month,4,Fiber Optic,Yes,Yes,No,92.5,369.99,Mailed Check
CUST0130,Month-to-Month,3,No Internet,Yes,Yes,No,83.27,249.81,Bank Transfer
CUST0131,Two Year,52,Fiber Optic,Yes,No,Yes,59.24,3080.55,Credit Card
CUST0132,One Year,28,DSL,Yes,No,No,75.15,2104.11,Bank Transfer
CUST0133,One Year,70,DSL,Yes,No,No,66.15,4630.15,Electronic Check
CUST0134,One Year,70,Fiber Optic,Yes,No,Yes,62.27,4358.72,Bank Transfer
CUST0135,Month-to-Month,55,No Internet,Yes,No,No,109.35,6013.99,Electronic Check
CUST0136,Month-to-Month,57,Fiber Optic,Yes,No,No,72.99,4160.4,Bank Transfer
CUST0137,One Year,16,DSL,Yes,No,No,49.51,792.1,Electronic Check
CUST0138,One Year,24,Fiber Optic,Yes,No,No,81.34,1952.1,Bank Transfer
CUST0139,Month-to-Month,69,Fiber Optic,Yes,No,No,105.9,7307.36,Mailed Check
CUST0140,One Year,41,DSL,Yes,No,No,71.79,2943.46,Bank Transfer
CUST0141,Month-to-Month,47,DSL,No,No,No,103.01,4841.48,Credit Card
CUST0142,Month-to-Month,69,DSL,Yes,No,No,112.89,7789.27,Credit Card
CUST0143,Month-to-Month,31,DSL,No,No,Yes,98.32,3047.98,Electronic Check
CUST0144,Month-to-Month,30,DSL,Yes,Yes,No,83.26,2497.79,Credit Card
CUST0145,Two Year,18,Fiber Optic,Yes,Yes,No,36.35,654.36,Electronic Check
CUST0146,Two Year,44,DSL,Yes,No,No,61.3,2697.09,Mailed Check
CUST0147,Month-to-Month,27,DSL,Yes,Yes,No,61.89,1670.96,Credit Card
CUST0148,One Year,26,Fiber Optic,No,No,Yes,58.66,1525.08,Credit Card
CUST0149,One Year,60,DSL,Yes,No,No,70.16,4209.47,Electronic Check
CUST0150,Month-to-Month,18,No Internet,Yes,No,No,93.13,1676.39,Mailed Check
CUST0151,Month-to-Month,56,Fiber Optic,Yes,No,No,93.46,5233.74,Mailed Check
CUST0152,Two Year,31,No Internet,Yes,Yes,Yes,43.09,1335.8,Bank Transfer
CUST0153,One Year,59,Fiber Optic,No,No,Yes,47.6,2808.15,Electronic Check
CUST0154,Two Year,2,Fiber Optic,Yes,No,Yes,34.97,69.93,Electronic Check
CUST0155,Month-to-Month,39,Fiber Optic,Yes,Yes,No,83.31,3248.92,Mailed Check
CUST0156,One Year,61,DSL,Yes,No,No,83.98,5122.69,Electronic Check
CUST0157,Month-to-Month,63,Fiber Optic,No,No,Yes,87.07,5485.4,Credit Card
CUST0158,Month-to-Month,18,No Internet,Yes,Yes,No,96.22,1731.94,Credit Card
CUST0159,Month-to-Month,17,No Internet,No,No,No,113.73,1933.43,Credit Card
CUST0160,Month-to-Month,39,DSL,Yes,No,Yes,111.97,4366.99,Electronic Check
CUST0161,Month-to-Month,71,DSL,Yes,Yes,No,113.43,8053.2,Bank Transfer
CUST0162,Month-to-Month,54,No Internet,Yes,No,No,76.2,4114.82,Bank Transfer
CUST0163,Month-to-Month,35,No Internet,Yes,No,No,62.1,2173.46,Mailed Check
CUST0164,One Year,11,DSL,Yes,Yes,No,85.65,942.15,Electronic Check
CUST0165,Month-to-Month,61,DSL,Yes,No,No,76.72,4680.07,Mailed Check
CUST0166,Month-to-Month,44,DSL,Yes,Yes,No,114.56,5040.71,Electronic Check
CUST0167,Month-to-Month,68,DSL,Yes,No,Yes,98.95,6728.91,Bank Transfer
CUST0168,Month-to-Month,25,Fiber Optic,Yes,Yes,Yes,64.9,1622.56,Credit Card
CUST0169,One Year,48,DSL,Yes,Yes,No,85.25,4091.88,Electronic Check
CUST0170,Month-to-Month,32,Fiber Optic,Yes,No,Yes,69.34,2218.9,Bank Transfer
CUST0171,One Year,4,Fiber Optic,Yes,Yes,Yes,71.86,287.45,Bank Transfer
CUST0172,Month-to-Month,38,DSL,Yes,Yes,No,104.12,3956.74,Bank Transfer
CUST0173,Month-to-Month,63,No Internet,No,No,No,111.58,7029.45,Credit Card
CUST0174,Two Year,47,No Internet,Yes,No,Yes,67.96,3194.3,Bank Transfer
CUST0175,One Year,1,DSL,Yes,No,Yes,72.43,72.43,Mailed Check
CUST0176,Month-to-Month,3,DSL,Yes,No,No,78.59,235.76,Bank Transfer
CUST0177,Two Year,62,Fiber Optic,Yes,No,No,48.72,3020.84,Bank Transfer
CUST0178,Month-to-Month,64,DSL,Yes,No,No,81.53,5217.64,Electronic Check
CUST0179,Two Year,17,Fiber Optic,Yes,Yes,No,52.23,887.83,Electronic Check
CUST0180,One Year,62,Fiber Optic,Yes,Yes,Yes,83.61,5183.86,Electronic Check
CUST0181,One Year,35,DSL,Yes,Yes,Yes,60.41,2114.25,Bank Transfer
CUST0182,Two Year,13,Fiber Optic,Yes,No,Yes,59.85,778.08,Bank Transfer
CUST0183,Month-to-Month,35,Fiber Optic,Yes,No,Yes,61.73,2160.6,Mailed Check
CUST0184,One Year,43,No Internet,No,No,No,86.0,3698.05,Credit Card
CUST0185,Month-to-Month,2,Fiber Optic,No,No,No,92.28,184.55,Bank Transfer
CUST0186,Month-to-Month,56,Fiber Optic,Yes,Yes,No,103.13,5775.13,Credit Card
CUST0187,Month-to-Month,51,Fiber Optic,Yes,Yes,No,72.92,3718.91,Bank Transfer
CUST0188,Month-to-Month,54,Fiber Optic,Yes,No,Yes,103.31,5578.99,Credit Card
CUST0189,One Year,16,Fiber Optic,Yes,No,Yes,57.32,917.06,Electronic Check
CUST0190,One Year,18,DSL,Yes,Yes,No,57.12,1028.17,Bank Transfer
CUST0191,One Year,7,Fiber Optic,Yes,No,No,81.87,573.09,Mailed Check
CUST0192,Month-to-Month,45,No Internet,Yes,Yes,No,84.24,3790.88,Credit Card
CUST0193,Month-to-Month,36,Fiber Optic,Yes,No,No,100.7,3625.24,Electronic Check
CUST0194,Two Year,41,DSL,Yes,No,No,43.8,1795.74,Mailed Check
CUST0195,Month-to-Month,42,DSL,Yes,No,No,119.52,5019.66,Electronic Check
CUST0196,One Year,7,DSL,Yes,Yes,Yes,76.45,535.16,Bank Transfer
CUST0197,One Year,15,DSL,Yes,Yes,Yes,89.98,1349.63,Mailed Check
CUST0198,One Year,60,No Internet,No,Yes,No,76.96,4617.38,Credit Card
CUST0199,Month-to-Month,40,Fiber Optic,Yes,No,Yes,72.24,2889.78,Credit Card
CUST0200,Two Year,37,DSL,Yes,Yes,No,43.9,1624.42,Mailed Check
CUST0201,Month-to-Month,66,No Internet,Yes,Yes,No,115.02,7591.5,Credit Card
CUST0202,Two Year,55,Fiber Optic,Yes,No,No,42.1,2315.28,Electronic Check
CUST0203,Month-to-Month,56,Fiber Optic,Yes,No,Yes,70.79,3964.28,Mailed Check
CUST0204,Month-to-Month,44,Fiber Optic,Yes,No,No,77.11,3392.66,Credit Card
CUST0205,Month-to-Month,57,DSL,Yes,No,No,87.3,4976.28,Electronic Check
CUST0206,One Year,6,Fiber Optic,Yes,No,Yes,67.68,406.06,Credit Card
CUST0207,Month-to-Month,32,Fiber Optic,Yes,No,Yes,74.01,2368.47,Electronic Check
CUST0208,Month-to-Month,18,DSL,Yes,No,No,104.16,1874.86,Bank Transfer
CUST0209,Month-to-Month,68,DSL,Yes,Yes,Yes,60.47,4112.01,Electronic Check
CUST0210,Two Year,7,Fiber Optic,Yes,No,No,33.24,232.7,Credit Card
CUST0211,Two Year,8,Fiber Optic,Yes,No,No,66.57,532.55,Electronic Check
CUST0212,One Year,64,DSL,No,Yes,Yes,64.87,4151.57,Credit Card
CUST0213,One Year,7,No Internet,Yes,No,No,68.81,481.69,Mailed Check
CUST0214,Month-to-Month,41,DSL,Yes,Yes,No,100.13,4105.49,Mailed Check
CUST0215,Month-to-Month,40,No Internet,Yes,Yes,Yes,99.3,3972.06,Bank Transfer
CUST0216,Two Year,3,Fiber Optic,Yes,No,Yes,56.01,168.02,Electronic Check
CUST0217,Month-to-Month,17,Fiber Optic,Yes,No,No,80.79,1373.51,Bank Transfer
CUST0218,Month-to-Month,66,DSL,Yes,No,Yes,110.16,7270.26,Mailed Check
CUST0219,Month-to-Month,52,No Internet,Yes,Yes,Yes,105.51,5486.35,Electronic Check
CUST0220,Month-to-Month,22,DSL,Yes,No,Yes,79.28,1744.06,Electronic Check
CUST0221,Month-to-Month,4,No Internet,Yes,Yes,Yes,66.18,264.72,Bank Transfer
CUST0222,Month-to-Month,6,No Internet,No,Yes,No,64.31,385.85,Bank Transfer
CUST0223,Month-to-Month,38,Fiber Optic,Yes,Yes,No,65.66,2494.95,Electronic Check
CUST0224,Month-to-Month,26,Fiber Optic,Yes,Yes,No,94.97,2469.28,Electronic Check
CUST0225,Month-to-Month,11,Fiber Optic,Yes,Yes,No,63.1,694.1,Electronic Check
CUST0226,Month-to-Month,17,Fiber Optic,Yes,No,No,80.22,1363.67,Bank Transfer
CUST0227,Month-to-Month,31,Fiber Optic,Yes,No,Yes,105.19,3260.95,Credit Card
CUST0228,One Year,35,No Internet,Yes,No,Yes,59.7,2089.64,Mailed Check
CUST0229,Month-to-Month,16,Fiber Optic,Yes,No,No,105.8,1692.78,Mailed Check
CUST0230,One Year,18,Fiber Optic,Yes,No,No,68.57,1234.2,Bank Transfer
CUST0231,One Year,62,Fiber Optic,Yes,No,No,48.56,3010.81,Electronic Check
CUST0232,One Year,27,No Internet,Yes,No,Yes,50.3,1357.98,Mailed Check
CUST0233,Month-to-Month,35,DSL,Yes,No,Yes,104.87,3670.33,Mailed Check
CUST0234,Month-to-Month,45,No Internet,Yes,No,No,83.85,3773.13,Mailed Check
CUST0235,Month-to-Month,35,No Internet,Yes,No,No,72.63,2541.88,Mailed Check
CUST0236,One Year,28,DSL,Yes,Yes,No,45.48,1273.31,Electronic Check
CUST0237,Month-to-Month,9,Fiber Optic,No,No,Yes,115.28,1037.55,Bank Transfer
CUST0238,Two Year,15,Fiber Optic,Yes,No,No,36.27,544.06,Electronic Check
CUST0239,Two Year,21,Fiber Optic,Yes,No,No,64.12,1346.44,Electronic Check
CUST0240,Month-to-Month,52,DSL,Yes,Yes,Yes,100.97,5250.2,Mailed Check
CUST0241,Month-to-Month,35,Fiber Optic,Yes,No,No,85.63,2997.13,Mailed Check
CUST0242,One Year,51,Fiber Optic,Yes,No,No,89.06,4542.16,Electronic Check
CUST0243,Month-to-Month,55,DSL,No,No,No,104.04,5722.41,Electronic Check
CUST0244,Month-to-Month,44,DSL,Yes,Yes,No,90.9,3999.46,Electronic Check
CUST0245,Two Year,65,DSL,Yes,Yes,No,44.39,2885.56,Credit Card
CUST0246,Month-to-Month,25,Fiber Optic,Yes,No,No,103.33,2583.23,Mailed Check
CUST0247,Two Year,47,No Internet,Yes,Yes,Yes,54.02,2539.12,Bank Transfer
CUST0248,One Year,56,DSL,Yes,Yes,No,81.81,4581.64,Bank Transfer
CUST0249,One Year,38,Fiber Optic,No,Yes,No,86.08,3270.99,Bank Transfer
CUST0250,Month-to-Month,11,No Internet,Yes,No,Yes,116.15,1277.7,Credit Card
CUST0251,Month-to-Month,67,No Internet,No,No,No,68.22,4570.6,Credit Card
CUST0252,Month-to-Month,15,Fiber Optic,Yes,No,No,89.29,1339.42,Bank Transfer
CUST0253,Month-to-Month,1,Fiber Optic,Yes,No,No,75.53,75.53,Bank Transfer
CUST0254,Month-to-Month,7,DSL,Yes,No,No,105.27,736.9,Bank Transfer
CUST0255,Month-to-Month,1,Fiber Optic,No,Yes,Yes,103.3,103.3,Electronic Check
CUST0256,Month-to-Month,49,No Internet,Yes,No,No,68.45,3354.2,Mailed Check
CUST0257,Month-to-Month,29,Fiber Optic,Yes,Yes,No,112.62,3266.03,Credit Card
CUST0258,One Year,26,No Internet,Yes,No,Yes,80.8,2100.81,Credit Card
CUST0259,Month-to-Month,45,DSL,Yes,Yes,No,107.84,4852.6,Electronic Check
CUST0260,Month-to-Month,71,DSL,Yes,No,No,87.42,6206.74,Credit Card
CUST0261,One Year,12,Fiber Optic,Yes,No,Yes,48.98,587.8,Bank Transfer
CUST0262,Two Year,32,Fiber Optic,Yes,Yes,No,35.62,1139.87,Credit Card
CUST0263,Month-to-Month,20,Fiber Optic,Yes,Yes,No,70.06,1401.14,Electronic Check
CUST0264,Month-to-Month,51,Fiber Optic,No,Yes,Yes,99.71,5085.39,Mailed Check
CUST0265,One Year,36,Fiber Optic,No,No,No,47.62,1714.2,Bank Transfer
CUST0266,Two Year,67,No Internet,Yes,Yes,No,41.56,2784.65,Credit Card
CUST0267,One Year,1,Fiber Optic,Yes,Yes,Yes,69.27,69.27,Bank Transfer
CUST0268,One Year,27,DSL,Yes,No,No,83.73,2260.75,Mailed Check
CUST0269,Month-to-Month,40,Fiber Optic,Yes,No,Yes,104.63,4185.04,Credit Card
CUST0270,Month-to-Month,14,No Internet,Yes,Yes,Yes,102.71,1437.98,Bank Transfer
CUST0271,Month-to-Month,69,No Internet,Yes,No,Yes,63.51,4381.9,Electronic Check
CUST0272,One Year,6,Fiber Optic,Yes,No,No,83.96,503.78,Electronic Check
CUST0273,One Year,33,No Internet,Yes,No,No,87.25,2879.24,Mailed Check
CUST0274,Two Year,55,DSL,Yes,Yes,No,37.47,2060.73,Mailed Check
CUST0275,Month-to-Month,19,No Internet,Yes,No,Yes,114.43,2174.11,Mailed Check
CUST0276,Month-to-Month,29,DSL,Yes,No,No,101.89,2954.93,Credit Card
CUST0277,Month-to-Month,61,Fiber Optic,Yes,No,Yes,115.57,7049.85,Mailed Check
CUST0278,One Year,70,Fiber Optic,Yes,No,Yes,51.64,3614.96,Credit Card
CUST0279,One Year,24,Fiber Optic,Yes,No,Yes,60.7,1456.77,Bank Transfer
CUST0280,Month-to-Month,23,DSL,Yes,No,Yes,94.18,2166.2,Electronic Check
CUST0281,Month-to-Month,10,No Internet,Yes,No,No,78.36,783.64,Bank Transfer
CUST0282,Month-to-Month,54,DSL,Yes,No,Yes,73.07,3945.67,Electronic Check
CUST0283,Month-to-Month,41,Fiber Optic,Yes,Yes,Yes,79.63,3264.91,Mailed Check
CUST0284,Two Year,49,No Internet,Yes,Yes,No,37.22,1823.54,Bank Transfer
CUST0285,Month-to-Month,17,DSL,Yes,Yes,Yes,70.36,1196.11,Bank Transfer
CUST0286,One Year,56,Fiber Optic,Yes,No,No,49.66,2780.93,Mailed Check
CUST0287,One Year,45,Fiber Optic,Yes,No,No,65.6,2952.07,Bank Transfer
CUST0288,One Year,30,Fiber Optic,Yes,No,No,61.91,1857.32,Credit Card
CUST0289,Month-to-Month,44,No Internet,Yes,No,No,95.32,4194.02,Electronic Check
CUST0290,Two Year,55,No Internet,Yes,Yes,No,43.34,2383.92,Mailed Check
CUST0291,Month-to-Month,19,Fiber Optic,Yes,Yes,Yes,104.89,1992.82,Credit Card
CUST0292,Month-to-Month,29,Fiber Optic,Yes,No,No,99.99,2899.58,Credit Card
CUST0293,Month-to-Month,2,No Internet,Yes,No,No,94.96,189.93,Mailed Check
CUST0294,Month-to-Month,36,No Internet,Yes,Yes,No,89.28,3213.97,Bank Transfer
CUST0295,Month-to-Month,19,DSL,Yes,Yes,No,71.19,1352.68,Electronic Check
CUST0296,Month-to-Month,7,DSL,Yes,Yes,Yes,113.68,795.78,Credit Card
CUST0297,Two Year,26,Fiber Optic,Yes,Yes,Yes,31.84,827.87,Bank Transfer
CUST0298,Month-to-Month,38,DSL,Yes,Yes,Yes,65.48,2488.18,Mailed Check
CUST0299,One Year,3,Fiber Optic,Yes,No,No,56.74,170.21,Mailed Check
CUST0300,Two Year,66,No Internet,Yes,Yes,No,35.06,2314.28,Electronic Check
CUST0301,Month-to-Month,71,Fiber Optic,Yes,Yes,No,82.31,5844.28,Mailed Check
CUST0302,One Year,43,No Internet,Yes,No,Yes,46.49,1999.22,Electronic Check
CUST0303,Month-to-Month,62,Fiber Optic,No,No,Yes,68.22,4229.89,Mailed Check
CUST0304,Month-to-Month,71,No Internet,Yes,Yes,No,70.39,4997.85,Mailed Check
CUST0305,Month-to-Month,24,Fiber Optic,Yes,No,No,63.26,1518.35,Credit Card
